Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2019-04-02,Spider-Man: No Way Home,Spider-Man: No Way Home — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),198.814,4511,5.2,es,"Comedy, Drama, Family",https://image.tmdb.org/t/p/original/100poster.jpg
2022-09-25,The Batman,The Batman — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),239.107,1540,5.1,de,"Action, Science Fiction, Mystery",https://image.tmdb.org/t/p/original/101poster.jpg
2022-09-15,No Exit,No Exit — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1361.622,9659,5.4,en,War,https://image.tmdb.org/t/p/original/102poster.jpg
2021-10-25,Encanto,Encanto — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1703.334,3532,8.8,ru,Drama,https://image.tmdb.org/t/p/original/103poster.jpg
2022-04-06,The King's Man,The King's Man — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),625.462,5640,7,en,"History, Comedy, Western",https://image.tmdb.org/t/p/original/104poster.jpg
2022-03-31,The Commando,The Commando — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),518.861,4808,8.1,ru,"Science Fiction, Drama, Action",https://image.tmdb.org/t/p/original/105poster.jpg
2020-07-22,Scream,Scream — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4649.757,1312,8.3,fr,"Animation, History",https://image.tmdb.org/t/p/original/106poster.jpg
2022-02-03,Kimi,Kimi — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1017.792,5825,5,hi,"Drama, Horror, Animation",https://image.tmdb.org/t/p/original/107poster.jpg
2020-09-29,Fistful of Vengeance,Fistful of Vengeance — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1022.245,6221,5.3,de,Crime,https://image.tmdb.org/t/p/original/108poster.jpg
2018-08-18,Eternals,Eternals — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1412.836,530,8,ko,"Drama, Science Fiction",https://image.tmdb.org/t/p/original/109poster.jpg
2021-07-12,Pursuit,Pursuit — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1315.128,8184,6,it,Animation,https://image.tmdb.org/t/p/original/110poster.jpg
2019-07-26,My Hero Academia: World Heroes' Mission,My Hero Academia: World Heroes' Mission — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1517.434,9202,6.7,ko,"Romance, Mystery, Comedy",https://image.tmdb.org/t/p/original/111poster.jpg
2019-07-21,Restless,Restless — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3081.681,1494,7.8,fr,Horror,https://image.tmdb.org/t/p/original/112poster.jpg
2022-09-26,Nightmare Alley,Nightmare Alley — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3598.634,6309,5.9,it,"Animation, Action, Crime",https://image.tmdb.org/t/p/original/113poster.jpg
2019-04-15,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4106.177,8802,7.8,ru,Family,https://image.tmdb.org/t/p/original/114poster.jpg
2022-11-16,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),991.039,58,8.8,hi,"Horror, Comedy, War",https://image.tmdb.org/t/p/original/115poster.jpg
2021-05-07,Texas Chainsaw Massacre,Texas Chainsaw Massacre — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5057.933,8322,7,es,"Horror, Action",https://image.tmdb.org/t/p/original/116poster.jpg
2021-08-20,The Requin,The Requin — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2957.204,1837,8.6,hi,Adventure,https://image.tmdb.org/t/p/original/117poster.jpg
2020-09-13,Looop Lapeta,Looop Lapeta — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5274.157,1295,4.4,it,Thriller,https://image.tmdb.org/t/p/original/118poster.jpg
2019-06-10,Red Notice,Red Notice — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3975.517,9012,4.8,de,"War, Science Fiction, History",https://image.tmdb.org/t/p/original/119poster.jpg
2020-04-03,Sing 2,Sing 2 — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4292.046,6542,9,ru,"Western, History",https://image.tmdb.org/t/p/original/120poster.jpg
2019-05-11,The Jack in the Box: Awakening,The Jack in the Box: Awakening — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1525.038,1054,5.7,de,Fantasy,https://image.tmdb.org/t/p/original/121poster.jpg
2018-01-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),472.409,969,5.1,en,"Drama, Fantasy",https://image.tmdb.org/t/p/original/122poster.jpg
2021-02-14,The Matrix Resurrections,The Matrix Resurrections — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4030.418,3515,6.7,it,Music,https://image.tmdb.org/t/p/original/123poster.jpg
2022-07-26,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1182.939,1593,7.3,ru,"War, History",https://image.tmdb.org/t/p/original/124poster.jpg
2018-08-10,Last Man Down,Last Man Down — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4056.519,1617,4.3,ru,Fantasy,https://image.tmdb.org/t/p/original/125poster.jpg
2020-02-24,American Siege,American Siege — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1181.743,7355,4.7,es,"History, Fantasy",https://image.tmdb.org/t/p/original/126poster.jpg
2018-11-05,Uncharted,Uncharted — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2686.628,9021,4.5,de,Drama,https://image.tmdb.org/t/p/original/127poster.jpg
2020-08-26,Demon Slayer -Mugen Train,Demon Slayer -Mugen Train — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1039.551,7961,6.4,ko,Horror,https://image.tmdb.org/t/p/original/128poster.jpg
2022-04-02,Ghostbusters: Afterlife,Ghostbusters: Afterlife — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),62.825,6401,5.3,it,"War, Music",https://image.tmdb.org/t/p/original/129poster.jpg
2019-09-27,The 355,The 355 — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1179.892,3571,8.8,de,Crime,https://image.tmdb.org/t/p/original/130poster.jpg
2018-08-23,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),348.347,7816,6.5,de,Adventure,https://image.tmdb.org/t/p/original/131poster.jpg
2023-09-12,Marry Me,Marry Me — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),526.663,3049,4.3,fr,"Fantasy, Romance, Adventure",https://image.tmdb.org/t/p/original/132poster.jpg
2020-10-05,The Hunting,The Hunting — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3494.568,656,7.1,ko,"Western, Crime, History",https://image.tmdb.org/t/p/original/133poster.jpg
2020-12-04,West Side Story,West Side Story — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1265.342,5152,5.2,ko,Family,https://image.tmdb.org/t/p/original/134poster.jpg
2023-02-16,Through My Window,Through My Window — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1931.254,1193,4,fr,Science Fiction,https://image.tmdb.org/t/p/original/135poster.jpg
2023-09-04,The Seven Deadly Sins: Cursed by Light,The Seven Deadly Sins: Cursed by Light — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1627.942,5723,8.4,ja,"Family, Horror",https://image.tmdb.org/t/p/original/136poster.jpg
2022-11-30,One Shot,One Shot — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5010.782,4961,7.1,de,Family,https://image.tmdb.org/t/p/original/137poster.jpg
2019-03-01,Tom and Jerry: Cowboy Up!,Tom and Jerry: Cowboy Up! — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5636.634,2205,5.3,fr,"Thriller, Animation, Western",https://image.tmdb.org/t/p/original/138poster.jpg
2020-05-12,Chernobyl: Abyss,Chernobyl: Abyss — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4319.793,3340,7.4,hi,"Music, Animation, History",https://image.tmdb.org/t/p/original/139poster.jpg
2018-07-28,Desperate Riders,Desperate Riders — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),599.176,6944,8.1,en,Crime,https://image.tmdb.org/t/p/original/140poster.jpg
2019-06-20,Clifford the Big Red Dog,Clifford the Big Red Dog — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3840.825,4296,4.8,it,"War, Action, Adventure",https://image.tmdb.org/t/p/original/141poster.jpg
2018-11-05,Tyler Perry's A Madea Homecoming,Tyler Perry's A Madea Homecoming — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5673.053,2447,6.7,ru,"Thriller, War, Drama",https://image.tmdb.org/t/p/original/142poster.jpg
2018-06-21,The Boss Baby: Family Business,The Boss Baby: Family Business — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1884.137,658,8.5,ja,"Fantasy, Comedy, Horror",https://image.tmdb.org/t/p/original/143poster.jpg
2022-07-23,Turning Red,Turning Red — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5844.33,2537,8.6,ja,Horror,https://image.tmdb.org/t/p/original/144poster.jpg
2022-08-16,Brazen,Brazen — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),197.479,5447,7.9,ko,"Fantasy, Animation, Drama",https://image.tmdb.org/t/p/original/145poster.jpg
2019-03-19,The House,The House — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2326.123,639,8.3,ja,History,https://image.tmdb.org/t/p/original/146poster.jpg
2021-12-03,Blacklight,Blacklight — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1865.886,3733,5.1,ja,"Crime, Animation",https://image.tmdb.org/t/p/original/147poster.jpg
2018-10-12,Ron's Gone Wrong,Ron's Gone Wrong — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5802.99,4578,5.8,de,"Crime, Action",https://image.tmdb.org/t/p/original/148poster.jpg
2019-04-18,Free Guy,Free Guy — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5268.379,4284,4.9,hi,Comedy,https://image.tmdb.org/t/p/original/149poster.jpg
2022-11-15,Cruella,Cruella — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2106.838,5144,6.2,de,Romance,https://image.tmdb.org/t/p/original/150poster.jpg
2020-02-18,Demon Storm,Demon Storm — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1565.599,7149,4,de,"Science Fiction, Mystery, Western",https://image.tmdb.org/t/p/original/151poster.jpg
2018-10-14,Island of Shadows,Island of Shadows — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5695.803,5414,7.1,fr,"Family, Western, Crime",https://image.tmdb.org/t/p/original/152poster.jpg
2022-07-31,Midnight Runner,Midnight Runner — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1990.788,4849,6.8,ja,"Romance, Horror",https://image.tmdb.org/t/p/original/153poster.jpg
2021-05-17,Skyline Chase,Skyline Chase — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2466.147,11,5.5,ja,"Crime, History",https://image.tmdb.org/t/p/original/154poster.jpg
2022-12-15,Lost Horizon,Lost Horizon — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2680.851,3506,6.6,es,"Drama, Family, Animation",https://image.tmdb.org/t/p/original/155poster.jpg
2021-10-04,Broken Strings,Broken Strings — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),605.654,3853,7.4,ja,Thriller,https://image.tmdb.org/t/p/original/156poster.jpg
2018-04-11,Iron Harbor,Iron Harbor — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),324.972,7789,7.1,fr,"War, Science Fiction",https://image.tmdb.org/t/p/original/157poster.jpg
2022-04-22,Silent Echoes,Silent Echoes — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2991.544,4002,4.7,en,War,https://image.tmdb.org/t/p/original/158poster.jpg
2020-06-15,Crimson Tide,Crimson Tide — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1096.526,8491,6.3,de,Comedy,https://image.tmdb.org/t/p/original/159poster.jpg
2023-02-13,Falling Skies,Falling Skies — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),843.368,7617,7.3,de,"Crime, History, Family",https://image.tmdb.org/t/p/original/160poster.jpg
2023-08-30,Neon Nights,Neon Nights — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2589.108,8981,6.2,es,"Music, History, Thriller",https://image.tmdb.org/t/p/original/161poster.jpg
2020-10-09,Echoes of Tomorrow,Echoes of Tomorrow — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5047.184,4548,7.8,de,"Fantasy, Animation",https://image.tmdb.org/t/p/original/162poster.jpg
2022-12-07,Paper Lanterns,Paper Lanterns — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),511.026,4686,5.2,ru,"Drama, Thriller",https://image.tmdb.org/t/p/original/163poster.jpg
2019-09-10,Golden Orchard,Golden Orchard — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1426.006,2508,7.5,fr,"War, Crime",https://image.tmdb.org/t/p/original/164poster.jpg
2023-03-24,Silver Line,Silver Line — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2523.857,3393,8.2,ko,"Action, Romance, Fantasy",https://image.tmdb.org/t/p/original/165poster.jpg
2018-01-25,Blue Meridian,Blue Meridian — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5659.313,4897,7.8,ko,"Fantasy, Music, Comedy",https://image.tmdb.org/t/p/original/166poster.jpg
2021-01-22,Shadow Peak,Shadow Peak — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2643.224,480,5.9,ko,"Horror, History, Music",https://image.tmdb.org/t/p/original/167poster.jpg
2019-06-07,The Last Harbor,The Last Harbor — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5885.296,8756,4.1,ko,"Action, Drama, Crime",https://image.tmdb.org/t/p/original/168poster.jpg
2022-10-22,Winter's Edge,Winter's Edge — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),857.412,7569,4.9,hi,"Crime, Science Fiction",https://image.tmdb.org/t/p/original/169poster.jpg
2023-02-06,Summer Bloom,Summer Bloom — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1994.733,6216,5.4,ko,"Drama, Music",https://image.tmdb.org/t/p/original/170poster.jpg
2018-03-21,Autumn Roads,Autumn Roads — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4506.694,858,9,ru,Drama,https://image.tmdb.org/t/p/original/171poster.jpg
2018-06-14,Desert Rose,Desert Rose — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4537.688,4056,5,en,"Thriller, Fantasy, Drama",https://image.tmdb.org/t/p/original/172poster.jpg
2023-04-24,City of Glass,City of Glass — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4033.28,9245,8.7,it,"Animation, Mystery, Drama",https://image.tmdb.org/t/p/original/173poster.jpg
2019-04-15,Hidden Fortress,Hidden Fortress — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4677.862,2688,8.8,fr,"Action, Family, Music",https://image.tmdb.org/t/p/original/174poster.jpg
2022-03-18,The Quiet Hour,The Quiet Hour — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2410.094,3254,4.4,ja,Family,https://image.tmdb.org/t/p/original/175poster.jpg
2019-05-11,Glassbound,Glassbound — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4787.552,9277,7.9,ru,"War, Mystery, Adventure",https://image.tmdb.org/t/p/original/176poster.jpg
2023-09-04,Fireline,Fireline — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3902.882,212,8.2,it,War,https://image.tmdb.org/t/p/original/177poster.jpg
2022-01-23,Stormbreak,Stormbreak — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3831.731,7537,7.5,ko,Western,https://image.tmdb.org/t/p/original/178poster.jpg
2021-01-11,Whispering Pines,Whispering Pines — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3714.679,8822,7.9,it,"Animation, Crime",https://image.tmdb.org/t/p/original/179poster.jpg
2020-10-02,Rogue Signal,Rogue Signal — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4992.85,1424,5.4,it,History,https://image.tmdb.org/t/p/original/180poster.jpg
2022-04-02,Quantum Drift,Quantum Drift — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2051.56,8103,8.3,es,"Science Fiction, Mystery",https://image.tmdb.org/t/p/original/181poster.jpg
2020-11-24,Solaris Dawn,Solaris Dawn — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2075.016,9772,7.5,hi,"Action, Science Fiction, Adventure",https://image.tmdb.org/t/p/original/182poster.jpg
2020-09-15,Lunar Echo,Lunar Echo — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4334.444,8009,6.8,ja,"Music, Western, Fantasy",https://image.tmdb.org/t/p/original/183poster.jpg
2018-03-12,Polar Night,Polar Night — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),603.667,3635,6,ja,"Mystery, Music",https://image.tmdb.org/t/p/original/184poster.jpg
2023-12-15,Velvet Chains,Velvet Chains — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2095.356,9022,5.7,it,"Family, Animation",https://image.tmdb.org/t/p/original/185poster.jpg
2020-08-02,Emerald City,Emerald City — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),767.903,3160,5.6,de,"Horror, Science Fiction, Comedy",https://image.tmdb.org/t/p/original/186poster.jpg
2023-06-07,Amber Waves,Amber Waves — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1695.173,9664,8.9,de,"Family, Comedy, War",https://image.tmdb.org/t/p/original/187poster.jpg
2020-03-06,Obsidian Gate,Obsidian Gate — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1812.666,5917,4.9,en,"Thriller, Animation, Action",https://image.tmdb.org/t/p/original/188poster.jpg
2018-08-12,Starlit Path,Starlit Path — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3342.486,2073,7.2,it,Action,https://image.tmdb.org/t/p/original/189poster.jpg
2021-03-10,Thunder Road,Thunder Road — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2842.912,7221,5.7,en,"Music, Comedy",https://image.tmdb.org/t/p/original/190poster.jpg
2018-09-25,Iron Roots,Iron Roots — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2434.209,1218,6.9,en,Thriller,https://image.tmdb.org/t/p/original/191poster.jpg
2021-05-29,Ocean's Whisper,Ocean's Whisper — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),556.826,4071,4.6,ko,"Fantasy, Romance, Western",https://image.tmdb.org/t/p/original/192poster.jpg
2022-12-19,Savage Valley,Savage Valley — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1819.251,9647,9,hi,"Adventure, Comedy, Romance",https://image.tmdb.org/t/p/original/193poster.jpg
2020-05-01,The Archivist,The Archivist — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3771.814,4340,7.3,es,Horror,https://image.tmdb.org/t/p/original/194poster.jpg
2018-11-04,Broken Compass,Broken Compass — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),981.369,6698,6.3,it,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/195poster.jpg
2021-03-26,Winds of Fate,Winds of Fate — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4256.387,7443,4.4,ja,"Science Fiction, War",https://image.tmdb.org/t/p/original/196poster.jpg
2019-04-16,Mirror Lake,Mirror Lake — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3290.146,2446,8.5,es,Adventure,https://image.tmdb.org/t/p/original/197poster.jpg
2019-11-11,Paper Towns,Paper Towns — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4766.14,9754,7.7,hi,"Comedy, History",https://image.tmdb.org/t/p/original/198poster.jpg
2021-05-30,Silent Harbor,Silent Harbor — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4213.415,4465,6.5,it,"Drama, Adventure",https://image.tmdb.org/t/p/original/199poster.jpg
